#Chr 	 Coordinate 	 H3K27me3
1	25000	2.31
1	75000	4.42
1	125000	2.30
1	175000	1.58
1	225000	0.32
1	275000	3.88
1	325000	0.25
1	375000	2.23
1	425000	4.48
1	475000	3.42
1	525000	1.87
1	575000	0.54
1	625000	7.22
1	675000	4.09
1	725000	2.21
1	775000	1.14
1	825000	1.19
1	875000	5.96
1	925000	2.47
1	975000	0.82
1	1025000	0.16
1	1075000	0.49
1	1125000	1.62
1	1175000	2.84
1	1225000	0.46
1	1275000	0.44
1	1325000	0.19
1	1375000	0.23
1	1425000	1.60
1	1475000	0.87
1	1525000	0.22
1	1575000	1.57
1	1625000	0.41
1	1675000	0.16
1	1725000	0.17
1	1775000	0.05
1	1825000	0.05
1	1875000	0.16
1	1925000	1.99
1	1975000	2.86
1	2025000	5.76
1	2075000	2.72
1	2125000	2.12
1	2175000	2.92
1	2225000	0.42
1	2275000	0.27
1	2325000	1.50
1	2375000	0.67
1	2425000	2.42
1	2475000	2.17
1	2525000	0.94
1	2575000	3.02
1	2625000	3.07
1	2675000	1.63
1	2725000	0.24
1	2775000	0.88
1	2825000	2.01
1	2875000	1.78
1	2925000	2.76
1	2975000	4.21
1	3025000	6.54
1	3075000	1.70
1	3125000	0.16
1	3175000	0.14
1	3225000	0.25
1	3275000	0.33
1	3325000	0.46
1	3375000	0.55
1	3425000	1.31
1	3475000	1.67
1	3525000	0.37
1	3575000	2.31
1	3625000	1.05
1	3675000	5.85
1	3725000	3.34
1	3775000	3.44
1	3825000	0.40
1	3875000	0.03
1	3925000	2.50
1	3975000	1.40
1	4025000	0.36
1	4075000	0.13
1	4125000	0.31
1	4175000	0.34
1	4225000	0.13
1	4275000	0.39
1	4325000	0.34
1	4375000	0.39
1	4425000	0.30
1	4475000	0.31
1	4525000	0.21
1	4575000	0.52
1	4625000	0.25
1	4675000	0.22
1	4725000	0.16
1	4775000	0.24
1	4825000	0.20
1	4875000	0.50
1	4925000	0.40
1	4975000	0.19
1	5025000	0.33
1	5075000	0.33
1	5125000	0.33
1	5175000	0.05
1	5225000	0.28
1	5275000	0.38
1	5325000	0.11
1	5375000	0.32
1	5425000	0.39
1	5475000	0.29
1	5525000	0.26
1	5575000	0.33
1	5625000	0.23
1	5675000	0.35
1	5725000	1.22
1	5775000	2.65
1	5825000	2.51
1	5875000	0.72
1	5925000	0.29
1	5975000	0.23
1	6025000	2.26
1	6075000	3.99
1	6125000	2.78
1	6175000	3.89
1	6225000	1.71
1	6275000	1.15
1	6325000	0.36
1	6375000	0.66
1	6425000	4.60
1	6475000	0.89
1	6525000	0.36
1	6575000	2.49
1	6625000	0.27
1	6675000	0.30
1	6725000	1.96
1	6775000	1.68
1	6825000	0.34
1	6875000	0.36
1	6925000	3.53
1	6975000	2.94
1	7025000	4.05
1	7075000	4.04
1	7125000	2.65
1	7175000	2.76
1	7225000	0.65
1	7275000	0.58
1	7325000	1.42
1	7375000	2.27
1	7425000	1.72
1	7475000	1.29
1	7525000	2.20
1	7575000	3.53
1	7625000	3.86
1	7675000	4.41
1	7725000	5.93
1	7775000	1.65
1	7825000	0.16
1	7875000	0.82
1	7925000	1.70
1	7975000	0.38
1	8025000	0.44
1	8075000	0.42
1	8125000	0.44
1	8175000	0.18
1	8225000	0.46
1	8275000	0.94
1	8325000	0.81
1	8375000	0.14
1	8425000	0.27
1	8475000	0.15
1	8525000	0.29
1	8575000	0.27
1	8625000	0.41
1	8675000	0.40
1	8725000	0.45
1	8775000	0.32
1	8825000	0.66
1	8875000	0.52
1	8925000	1.97
1	8975000	1.05
1	9025000	3.65
1	9075000	2.26
1	9125000	0.64
1	9175000	1.10
1	9225000	1.48
1	9275000	0.27
1	9325000	0.22
1	9375000	0.50
1	9425000	1.00
1	9475000	1.59
1	9525000	1.44
1	9575000	0.11
1	9625000	1.15
1	9675000	1.82
1	9725000	0.14
1	9775000	0.33
1	9825000	0.70
1	9875000	1.15
1	9925000	0.66
1	9975000	0.48
1	10025000	0.44
1	10075000	0.35
1	10125000	0.28
1	10175000	0.18
1	10225000	0.13
1	10275000	0.09
1	10325000	0.22
1	10375000	0.11
1	10425000	0.33
1	10475000	0.27
1	10525000	0.55
1	10575000	0.23
1	10625000	0.47
1	10675000	2.38
1	10725000	5.00
1	10775000	6.56
1	10825000	6.24
1	10875000	5.93
1	10925000	4.84
1	10975000	3.53
1	11025000	0.83
1	11075000	0.33
1	11125000	0.10
1	11175000	0.33
1	11225000	0.05
1	11275000	0.38
1	11325000	5.19
1	11375000	5.30
1	11425000	6.62
1	11475000	6.88
1	11525000	4.47
1	11575000	7.26
1	11625000	6.12
1	11675000	1.94
1	11725000	3.45
1	11775000	2.10
1	11825000	0.23
1	11875000	7.83
1	11925000	0.67
1	11975000	0.16
1	12025000	0.62
1	12075000	1.96
1	12125000	2.24
1	12175000	0.93
1	12225000	2.52
1	12275000	0.05
1	12325000	0.34
1	12375000	0.25
1	12425000	0.12
1	12475000	0.26
1	12525000	0.74
1	12575000	0.48
1	12625000	1.78
1	12675000	4.86
1	12725000	5.13
1	12775000	6.23
1	12825000	3.06
1	12875000	2.20
1	12925000	1.62
1	12975000	0.05
1	13025000	1.02
1	13075000	0.37
1	13125000	0.72
1	13175000	0.93
1	13225000	1.33
1	13275000	2.03
1	13325000	0.71
1	13375000	0.42
1	13425000	0.28
1	13475000	0.18
1	13525000	0.31
1	13575000	0.60
1	13625000	0.42
1	13675000	0.70
1	13725000	1.28
1	13775000	0.19
1	13825000	1.13
1	13875000	1.84
1	13925000	1.39
1	13975000	1.03
1	14025000	0.76
1	14075000	2.17
1	14125000	1.67
1	14175000	1.72
1	14225000	1.61
1	14275000	1.98
1	14325000	0.85
1	14375000	1.92
1	14425000	0.82
1	14475000	1.20
1	14525000	1.09
1	14575000	2.17
1	14625000	1.52
1	14675000	1.86
1	14725000	0.92
1	14775000	1.37
1	14825000	2.26
1	14875000	2.63
1	14925000	0.84
1	14975000	0.51
1	15025000	0.13
1	15075000	1.94
1	15125000	4.56
1	15175000	0.72
1	15225000	1.26
1	15275000	3.56
1	15325000	1.12
1	15375000	2.22
1	15425000	1.02
1	15475000	1.74
1	15525000	0.31
1	15575000	0.43
1	15625000	0.42
1	15675000	0.22
1	15725000	0.18
1	15775000	0.25
1	15825000	0.22
1	15875000	0.13
1	15925000	0.31
1	15975000	0.93
1	16025000	3.24
1	16075000	1.67
1	16125000	0.35
1	16175000	0.72
1	16225000	1.29
1	16275000	0.27
1	16325000	0.16
1	16375000	0.41
1	16425000	1.28
1	16475000	0.32
1	16525000	5.31
1	16575000	1.59
1	16625000	0.91
1	16675000	6.33
1	16725000	7.38
1	16775000	9.01
1	16825000	0.41
1	16875000	7.75
1	16925000	1.38
1	16975000	0.51
1	17025000	0.28
1	17075000	2.40
1	17125000	2.35
1	17175000	0.37
1	17225000	0.51
1	17275000	1.67
1	17325000	2.72
1	17375000	4.24
1	17425000	0.35
1	17475000	1.54
1	17525000	1.33
1	17575000	0.36
1	17625000	0.46
1	17675000	0.38
1	17725000	3.19
1	17775000	3.65
1	17825000	5.27
1	17875000	2.07
1	17925000	4.77
1	17975000	4.66
1	18025000	4.58
1	18075000	3.41
1	18125000	3.68
1	18175000	4.54
1	18225000	3.26
1	18275000	3.34
1	18325000	2.74
1	18375000	2.50
1	18425000	2.58
1	18475000	3.38
1	18525000	3.29
1	18575000	3.96
1	18625000	6.01
1	18675000	5.50
1	18725000	5.82
1	18775000	5.16
1	18825000	4.56
1	18875000	2.09
1	18925000	0.25
1	18975000	1.41
1	19025000	1.02
1	19075000	1.12
1	19125000	0.22
1	19175000	0.13
1	19225000	0.14
1	19275000	0.33
1	19325000	0.24
1	19375000	0.29
1	19425000	0.13
1	19475000	0.68
1	19525000	2.17
1	19575000	2.89
1	19625000	0.80
1	19675000	1.98
1	19725000	0.58
1	19775000	0.13
1	19825000	1.16
1	19875000	0.97
1	19925000	2.77
1	19975000	8.27
1	20025000	6.07
1	20075000	4.53
1	20125000	5.63
1	20175000	6.99
1	20225000	7.30
1	20275000	7.16
1	20325000	8.54
1	20375000	4.09
1	20425000	2.18
1	20475000	3.92
1	20525000	4.72
1	20575000	3.51
1	20625000	0.37
1	20675000	0.44
1	20725000	0.29
1	20775000	0.24
1	20825000	0.35
1	20875000	0.06
1	20925000	0.11
1	20975000	0.11
1	21025000	0.24
1	21075000	0.14
1	21125000	0.16
1	21175000	0.56
1	21225000	0.37
1	21275000	0.18
1	21325000	0.26
1	21375000	2.43
1	21425000	4.97
1	21475000	1.94
1	21525000	6.20
1	21575000	4.81
1	21625000	5.16
1	21675000	2.76
1	21725000	0.15
1	21775000	0.50
1	21825000	0.32
1	21875000	0.26
1	21925000	0.47
1	21975000	1.36
1	22025000	1.08
1	22075000	0.08
1	22125000	2.76
1	22175000	7.88
1	22225000	10.86
1	22275000	8.98
1	22325000	6.74
1	22375000	8.42
1	22425000	4.58
1	22475000	0.27
1	22525000	2.14
1	22575000	9.16
1	22625000	8.51
1	22675000	5.69
1	22725000	0.35
1	22775000	0.20
1	22825000	0.35
1	22875000	0.23
1	22925000	3.32
1	22975000	3.80
1	23025000	1.01
1	23075000	0.21
1	23125000	0.25
1	23175000	0.13
1	23225000	0.95
1	23275000	0.55
1	23325000	0.19
1	23375000	0.55
1	23425000	0.81
1	23475000	1.21
1	23525000	0.60
1	23575000	0.58
1	23625000	2.25
1	23675000	3.34
1	23725000	0.44
1	23775000	0.22
1	23825000	0.53
1	23875000	1.49
1	23925000	2.30
1	23975000	0.42
1	24025000	0.50
1	24075000	3.75
1	24125000	1.69
1	24175000	0.95
1	24225000	2.28
1	24275000	1.04
1	24325000	4.49
1	24375000	0.45
1	24425000	0.14
1	24475000	0.98
1	24525000	0.68
1	24575000	2.56
1	24625000	1.78
1	24675000	0.06
1	24725000	0.42
1	24775000	0.16
1	24825000	0.38
1	24875000	3.73
1	24925000	5.48
1	24975000	4.20
1	25025000	2.28
1	25075000	5.28
1	25125000	7.50
1	25175000	5.35
1	25225000	1.09
1	25275000	0.73
1	25325000	0.40
1	25375000	1.64
1	25425000	1.64
1	25475000	0.38
1	25525000	2.24
1	25575000	3.46
1	25625000	8.64
1	25675000	5.93
1	25725000	6.10
1	25775000	4.16
1	25825000	0.36
1	25875000	0.27
1	25925000	1.23
1	25975000	0.03
1	26025000	2.01
1	26075000	4.64
1	26125000	1.10
1	26175000	3.34
1	26225000	2.29
1	26275000	0.25
1	26325000	1.00
1	26375000	1.37
1	26425000	2.74
1	26475000	0.38
1	26525000	1.18
1	26575000	0.84
1	26625000	1.07
1	26675000	1.14
1	26725000	0.39
1	26775000	0.05
1	26825000	0.15
1	26875000	0.24
1	26925000	0.31
1	26975000	2.70
1	27025000	0.74
1	27075000	2.71
1	27125000	0.52
1	27175000	0.73
1	27225000	1.28
1	27275000	0.35
1	27325000	0.79
1	27375000	1.46
1	27425000	0.32
1	27475000	0.28
1	27525000	0.45
1	27575000	0.20
1	27625000	2.29
1	27675000	1.12
1	27725000	1.85
1	27775000	0.22
1	27825000	0.27
1	27875000	0.66
1	27925000	1.22
1	27975000	0.64
1	28025000	0.32
1	28075000	0.35
1	28125000	0.47
1	28175000	0.70
1	28225000	0.40
